Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Seat comfort,Departure/Arrival time convenient,Food and drink,Gate location,Inflight wifi service,Inflight entertainment,Online support,Ease of Online booking,On-board service,Leg room service,Baggage handling,Checkin service,Cleanliness,Online boarding,Departure Delay in Minutes,Arrival Delay in Minutes,Satisfaction
Female,Loyal Customer,40,Personal Travel,Eco,1766,0,4,0,2,3,0,3,3,3,2,4,3,5,3,0.0,0.0,satisfied
Female,Loyal Customer,56,Business travel,Business,1595,5,5,4,5,5,4,4,5,5,5,5,3,5,5,0.0,0.0,satisfied
Male,Loyal Customer,7,Business travel,Business,3342,2,4,2,2,4,4,4,4,4,3,4,5,4,4,0.0,0.0,satisfied
Female,Loyal Customer,26,Business travel,Business,2918,1,1,1,1,4,4,4,4,5,5,5,3,4,4,0.0,0.0,satisfied
Male,Loyal Customer,59,Personal Travel,Eco,2489,1,4,1,1,3,1,3,3,4,4,5,4,4,3,0.0,0.0,neutral or dissatisfied
Male,Loyal Customer,43,Business travel,Business,2616,5,5,5,5,2,4,5,4,4,5,4,5,4,5,0.0,0.0,satisfied
Male,Loyal Customer,49,Personal Travel,Eco,2957,3,3,3,3,5,3,5,5,3,5,3,1,4,5,11.0,13.0,neutral or dissatisfied
Male,Loyal Customer,50,Business travel,Business,1856,3,3,3,3,4,4,4,4,4,4,4,3,4,4,1.0,0.0,satisfied
Male,Loyal Customer,41,Business travel,Business,3146,5,5,3,5,5,5,4,4,4,4,4,5,4,5,5.0,3.0,satisfied
Male,Loyal Customer,65,Business travel,Eco Plus,2175,4,2,2,2,4,4,4,4,4,2,3,3,4,4,0.0,0.0,satisfied
Male,Loyal Customer,59,Business travel,Business,2823,0,0,0,4,3,5,4,5,5,5,5,3,5,5,5.0,15.0,satisfied
Male,Loyal Customer,32,Business travel,Business,4279,5,5,5,5,4,4,4,4,3,3,2,2,3,4,0.0,0.0,satisfied
Male,Loyal Customer,37,Personal Travel,Eco,2568,2,5,2,3,2,2,2,2,5,4,4,5,5,2,0.0,0.0,neutral or dissatisfied
Female,Loyal Customer,70,Personal Travel,Eco,56,0,4,0,3,4,4,4,1,1,0,3,4,1,5,0.0,0.0,satisfied
Female,Loyal Customer,17,Personal Travel,Eco,1728,1,1,1,1,2,4,5,5,5,5,4,4,5,5,1.0,0.0,satisfied
Male,Loyal Customer,24,Personal Travel,Eco,1904,2,4,2,3,2,2,2,2,4,5,4,2,3,2,0.0,0.0,neutral or dissatisfied
Female,Loyal Customer,56,Business travel,Business,64,5,5,5,5,1,1,4,4,4,4,4,1,4,3,0.0,0.0,satisfied
Female,Loyal Customer,54,Business travel,Business,2344,4,4,4,4,5,5,5,3,3,3,3,4,3,5,36.0,17.0,satisfied
Male,Loyal Customer,26,Business travel,Business,1154,1,1,4,1,5,5,5,5,4,4,5,5,4,5,0.0,2.0,satisfied
Female,Loyal Customer,43,Personal Travel,Eco,1077,4,4,4,4,5,5,4,5,5,5,5,5,5,3,63.0,64.0,satisfied
Female,Loyal Customer,46,Business travel,Business,1792,3,3,5,3,3,3,5,5,5,5,5,4,5,5,46.0,42.0,satisfied
Male,Loyal Customer,55,Business travel,Business,2106,1,1,1,1,4,5,5,4,4,4,4,3,4,5,32.0,7.0,satisfied
Female,Loyal Customer,15,Business travel,Eco Plus,1873,4,5,5,5,4,3,1,4,2,5,3,1,3,4,0.0,6.0,neutral or dissatisfied
Female,disloyal Customer,40,Business travel,Business,1980,2,2,2,3,5,2,5,5,2,3,3,5,5,5,0.0,0.0,neutral or dissatisfied
Female,Loyal Customer,53,Business travel,Business,2745,2,2,2,2,4,5,5,4,4,4,4,3,4,5,7.0,5.0,satisfied
Female,disloyal Customer,46,Business travel,Business,2632,4,4,4,4,5,4,5,5,3,2,5,4,4,5,59.0,40.0,satisfied
Male,Loyal Customer,45,Business travel,Business,486,5,5,5,5,4,2,1,5,5,5,5,1,5,1,37.0,13.0,satisfied
Female,Loyal Customer,70,Personal Travel,Eco,307,5,5,5,5,4,5,5,4,4,5,4,4,4,3,0.0,0.0,satisfied
Male,Loyal Customer,7,Personal Travel,Eco,1507,3,2,3,4,2,3,2,2,4,3,4,2,3,2,12.0,0.0,neutral or dissatisfied
Female,Loyal Customer,52,Business travel,Business,1560,4,4,4,4,5,5,5,5,5,4,5,3,5,4,3.0,0.0,satisfied
Female,Loyal Customer,47,Business travel,Business,428,3,3,3,3,3,4,5,4,4,4,4,4,4,5,0.0,0.0,satisfied
Female,Loyal Customer,54,Personal Travel,Eco,776,5,5,4,1,2,4,4,2,2,4,2,3,2,5,18.0,1.0,satisfied
Male,disloyal Customer,26,Business travel,Business,1448,3,4,2,2,2,2,1,2,3,5,5,5,5,2,4.0,0.0,neutral or dissatisfied
Male,Loyal Customer,10,Personal Travel,Eco,3010,4,4,4,3,3,4,1,3,4,4,3,4,4,3,0.0,0.0,neutral or dissatisfied
Male,Loyal Customer,24,Personal Travel,Eco,1596,1,2,1,4,1,1,3,1,1,4,3,3,4,1,65.0,62.0,neutral or dissatisfied
Male,Loyal Customer,27,Business travel,Business,1740,1,2,2,2,1,1,1,1,4,5,4,4,3,1,0.0,0.0,neutral or dissatisfied
Female,Loyal Customer,51,Personal Travel,Eco,288,3,3,5,3,3,4,5,4,4,5,4,3,4,3,13.0,12.0,satisfied
Female,disloyal Customer,57,Business travel,Business,1755,3,3,3,2,2,3,2,2,3,5,4,3,5,2,1.0,0.0,neutral or dissatisfied
Male,disloyal Customer,23,Business travel,Eco,2510,4,4,4,2,5,4,5,5,5,3,5,5,4,5,83.0,81.0,satisfied
Female,Loyal Customer,52,Business travel,Business,3927,5,5,5,5,2,5,5,5,5,5,5,4,5,4,67.0,57.0,satisfied
Female,Loyal Customer,52,Business travel,Business,3377,1,1,1,1,1,4,1,4,4,4,4,4,4,4,0.0,0.0,satisfied
Male,disloyal Customer,29,Business travel,Eco,3535,3,3,3,3,1,3,1,1,4,2,4,4,4,1,12.0,34.0,neutral or dissatisfied
Female,Loyal Customer,56,Business travel,Eco,232,5,2,2,2,1,2,1,5,5,5,5,3,5,5,0.0,0.0,satisfied
Male,Loyal Customer,33,Business travel,Eco Plus,2220,4,5,5,5,4,4,4,4,4,4,4,2,4,4,57.0,44.0,neutral or dissatisfied
Female,Loyal Customer,37,Personal Travel,Eco Plus,3441,3,3,3,3,4,5,5,4,4,4,4,3,4,5,0.0,0.0,satisfied
Male,Loyal Customer,48,Business travel,Eco,1397,5,4,4,4,5,5,5,5,3,5,5,4,3,5,0.0,13.0,satisfied
Male,Loyal Customer,22,Business travel,Business,4535,4,4,4,4,5,5,5,5,4,1,1,4,3,5,38.0,20.0,satisfied
Male,Loyal Customer,26,Business travel,Business,3791,3,4,4,4,3,2,3,3,1,5,4,3,3,3,0.0,0.0,neutral or dissatisfied
Male,disloyal Customer,23,Business travel,Eco,1361,2,0,2,1,5,2,5,5,4,4,4,4,2,5,0.0,0.0,neutral or dissatisfied
Female,Loyal Customer,32,Business travel,Business,1642,0,5,0,4,3,3,3,3,1,2,1,4,2,3,48.0,64.0,satisfied
Male,Loyal Customer,59,Personal Travel,Eco,2314,2,5,2,3,3,2,3,3,4,2,4,5,4,3,13.0,5.0,neutral or dissatisfied
Female,Loyal Customer,47,Business travel,Business,474,2,5,5,5,1,4,3,2,2,1,2,3,2,3,0.0,0.0,neutral or dissatisfied
Female,Loyal Customer,69,Personal Travel,Eco,69,4,4,2,4,5,5,4,3,3,3,3,4,3,5,4.0,8.0,satisfied
Male,Loyal Customer,51,Personal Travel,Eco,3356,2,5,2,3,1,2,1,1,3,2,4,4,5,1,1.0,62.0,neutral or dissatisfied
Female,Loyal Customer,36,Business travel,Business,625,3,3,3,3,2,4,4,4,4,4,4,4,4,4,0.0,0.0,satisfied
Female,Loyal Customer,42,Business travel,Business,3417,2,2,2,2,4,2,3,5,5,5,5,3,5,1,0.0,0.0,satisfied
Female,Loyal Customer,52,Business travel,Business,1718,5,5,5,5,5,4,4,4,4,4,4,4,4,3,22.0,14.0,satisfied
Male,Loyal Customer,34,Business travel,Eco Plus,1961,4,2,2,2,4,4,4,4,4,5,4,4,4,4,16.0,19.0,neutral or dissatisfied
Female,Loyal Customer,45,Business travel,Business,951,4,4,5,4,5,5,4,4,4,4,4,4,4,5,0.0,0.0,satisfied
Female,Loyal Customer,37,Business travel,Business,1818,5,5,5,5,4,4,4,5,5,5,5,4,5,3,3.0,0.0,satisfied
Male,disloyal Customer,47,Business travel,Eco,2145,1,1,1,4,3,1,3,3,1,1,3,1,3,3,16.0,9.0,neutral or dissatisfied
Female,Loyal Customer,14,Personal Travel,Eco,2017,4,3,3,4,2,3,2,2,1,4,3,2,4,2,14.0,7.0,neutral or dissatisfied
Male,Loyal Customer,43,Business travel,Business,1571,2,3,3,3,2,4,3,2,2,2,2,2,2,1,23.0,23.0,neutral or dissatisfied
Female,Loyal Customer,13,Personal Travel,Eco,3688,3,3,3,3,2,5,4,4,4,4,4,5,4,3,4.0,1.0,satisfied
Female,Loyal Customer,36,Business travel,Eco,1640,3,3,4,3,3,4,3,3,2,3,1,5,5,3,0.0,0.0,satisfied
Male,Loyal Customer,30,Business travel,Business,5171,4,4,4,4,4,4,4,4,3,2,5,5,5,4,0.0,0.0,satisfied
Male,Loyal Customer,50,Personal Travel,Eco,1948,3,3,3,3,5,3,2,5,3,5,2,4,5,5,13.0,3.0,neutral or dissatisfied
Male,Loyal Customer,47,Business travel,Business,1005,2,2,2,2,2,3,3,2,2,3,2,2,2,3,0.0,0.0,neutral or dissatisfied
Male,Loyal Customer,50,Business travel,Business,3023,1,1,4,1,4,4,5,4,4,4,4,3,4,5,3.0,4.0,satisfied
Female,Loyal Customer,34,Business travel,Business,1641,3,3,3,3,2,3,4,3,3,3,3,3,3,2,6.0,0.0,neutral or dissatisfied
Female,disloyal Customer,27,Business travel,Business,1697,2,2,2,3,1,2,1,1,5,4,5,3,5,1,0.0,0.0,neutral or dissatisfied
Female,Loyal Customer,8,Personal Travel,Eco,2106,1,1,1,1,5,4,4,4,4,4,4,4,4,4,9.0,8.0,satisfied
Male,Loyal Customer,28,Business travel,Business,3234,1,1,1,1,4,4,4,4,4,3,3,4,5,4,6.0,0.0,satisfied
Male,Loyal Customer,55,Business travel,Business,1608,5,5,3,5,2,4,4,5,5,5,5,3,5,3,0.0,0.0,satisfied
Male,disloyal Customer,54,Business travel,Business,3833,2,2,2,3,2,3,3,4,3,2,2,3,4,3,3.0,11.0,neutral or dissatisfied
Male,disloyal Customer,38,Business travel,Business,2538,4,4,4,5,4,4,3,4,3,2,5,3,4,4,1.0,0.0,satisfied
Female,Loyal Customer,53,Business travel,Business,318,2,1,1,1,5,4,4,2,2,2,2,1,2,2,2.0,0.0,neutral or dissatisfied
Female,Loyal Customer,35,Business travel,Eco,1438,2,1,1,1,2,2,2,2,1,1,4,4,3,2,0.0,16.0,neutral or dissatisfied
Male,Loyal Customer,53,Personal Travel,Eco,1512,2,5,2,2,4,2,4,4,3,5,5,3,5,4,0.0,0.0,neutral or dissatisfied
Male,Loyal Customer,34,Business travel,Business,59,5,3,5,5,4,2,3,4,4,4,5,4,4,5,22.0,25.0,satisfied
Female,disloyal Customer,43,Business travel,Eco,1560,3,1,3,4,1,3,1,1,4,4,3,4,4,1,7.0,18.0,neutral or dissatisfied
Female,disloyal Customer,37,Business travel,Eco,2393,5,0,5,4,4,5,4,4,3,1,1,2,2,4,0.0,0.0,satisfied
Female,disloyal Customer,62,Business travel,Eco Plus,1107,2,2,2,1,4,2,2,4,1,3,5,1,4,4,42.0,46.0,neutral or dissatisfied
Male,Loyal Customer,56,Business travel,Business,3789,5,5,5,5,5,4,5,5,5,5,5,3,5,3,0.0,0.0,satisfied
Female,Loyal Customer,39,Business travel,Eco,1814,5,4,4,4,5,5,5,5,3,2,1,1,5,5,0.0,0.0,satisfied
Male,Loyal Customer,54,Personal Travel,Eco,2048,1,2,1,4,1,1,1,1,1,2,3,4,4,1,0.0,0.0,neutral or dissatisfied
Male,Loyal Customer,58,Business travel,Business,2593,2,2,2,2,4,4,4,4,5,3,4,4,3,4,0.0,0.0,satisfied
Female,Loyal Customer,44,Personal Travel,Eco,879,4,4,4,4,2,4,5,4,4,4,4,4,4,3,23.0,15.0,satisfied
Female,disloyal Customer,51,Business travel,Business,2018,1,1,1,1,3,1,3,3,4,2,4,3,5,3,39.0,30.0,neutral or dissatisfied
Female,disloyal Customer,59,Business travel,Eco,1638,4,3,4,5,1,4,1,1,1,3,1,5,1,1,0.0,0.0,neutral or dissatisfied
Female,Loyal Customer,64,Business travel,Eco,1191,2,4,4,4,2,3,3,1,1,2,1,2,1,2,94.0,86.0,neutral or dissatisfied
Male,Loyal Customer,30,Business travel,Eco Plus,1659,5,3,3,3,5,5,5,5,1,3,5,3,3,5,0.0,0.0,satisfied
Male,Loyal Customer,59,Business travel,Business,1661,4,4,4,4,4,3,5,5,5,5,5,5,5,3,10.0,4.0,satisfied
Female,Loyal Customer,50,Personal Travel,Eco,664,4,1,4,3,1,4,4,2,2,4,2,3,2,2,0.0,0.0,neutral or dissatisfied
Female,Loyal Customer,36,Business travel,Eco,2274,1,5,5,5,1,1,1,1,2,4,1,3,2,1,104.0,97.0,neutral or dissatisfied
Female,Loyal Customer,37,Business travel,Business,1003,4,4,4,4,5,5,4,4,4,4,4,3,4,5,23.0,4.0,satisfied
Female,Loyal Customer,55,Business travel,Business,251,3,3,3,3,4,4,5,5,5,5,5,2,5,3,0.0,0.0,satisfied
Female,Loyal Customer,37,Personal Travel,Business,275,5,4,5,2,4,5,4,2,2,5,2,3,2,3,3.0,1.0,satisfied
Female,Loyal Customer,50,Personal Travel,Eco,424,5,4,5,3,4,4,5,5,5,5,5,5,5,5,91.0,90.0,satisfied
Male,Loyal Customer,21,Personal Travel,Eco,1575,2,4,2,3,1,2,1,1,4,5,5,4,4,1,4.0,17.0,neutral or dissatisfied
Female,Loyal Customer,29,Personal Travel,Eco,1389,5,5,5,1,3,5,3,3,4,2,4,5,4,3,0.0,0.0,satisfied
Male,Loyal Customer,41,Business travel,Eco,2027,1,4,4,4,1,1,1,1,2,2,3,3,2,1,15.0,11.0,neutral or dissatisfied
Male,Loyal Customer,39,Business travel,Business,435,2,1,1,1,4,3,4,2,2,2,2,2,2,4,53.0,52.0,neutral or dissatisfied
Male,Loyal Customer,57,Personal Travel,Eco,2368,5,2,5,3,5,5,5,5,2,1,4,3,4,5,14.0,20.0,satisfied
Male,Loyal Customer,51,Business travel,Business,3864,3,3,3,3,5,5,4,2,2,2,2,5,2,4,0.0,0.0,satisfied
Female,Loyal Customer,33,Business travel,Business,1980,2,2,2,2,4,4,1,4,4,4,4,2,4,1,0.0,0.0,satisfied
Female,Loyal Customer,43,Personal Travel,Eco,657,2,2,2,2,3,5,5,4,4,4,4,5,4,4,0.0,0.0,satisfied
Female,Loyal Customer,26,Personal Travel,Business,2515,5,5,3,5,2,3,4,4,4,4,4,4,4,3,0.0,0.0,satisfied
Female,Loyal Customer,67,Personal Travel,Eco,610,3,3,3,3,4,4,5,3,3,3,3,4,3,3,30.0,38.0,satisfied
Female,Loyal Customer,39,Business travel,Business,2587,4,4,4,4,2,4,5,5,5,5,5,4,5,4,0.0,8.0,satisfied
Female,Loyal Customer,43,Business travel,Business,2130,1,1,1,1,4,4,5,5,5,5,5,4,5,5,0.0,0.0,satisfied
Male,Loyal Customer,24,Business travel,Business,2777,1,3,4,3,1,2,1,1,2,5,3,2,3,1,0.0,0.0,neutral or dissatisfied
Female,Loyal Customer,11,Personal Travel,Eco,2130,4,0,4,3,4,4,4,4,4,5,5,4,5,4,4.0,0.0,satisfied
Female,Loyal Customer,43,Business travel,Business,3061,4,4,4,4,5,4,4,5,5,5,5,3,5,4,12.0,4.0,satisfied
Male,Loyal Customer,50,Business travel,Business,3410,4,4,4,4,5,4,5,4,4,4,4,3,4,3,28.0,27.0,satisfied
Female,Loyal Customer,44,Business travel,Business,460,5,5,5,5,1,5,3,5,5,5,5,5,5,5,0.0,0.0,satisfied
Male,Loyal Customer,38,Business travel,Eco,1276,5,1,1,1,5,4,5,5,1,2,5,2,2,5,0.0,1.0,satisfied
Male,disloyal Customer,27,Business travel,Eco,1976,3,3,3,3,5,3,4,5,3,1,3,2,3,5,0.0,0.0,neutral or dissatisfied
Female,disloyal Customer,25,Business travel,Eco,2064,2,2,2,4,5,2,5,5,4,2,3,1,4,5,0.0,12.0,neutral or dissatisfied
Female,Loyal Customer,31,Business travel,Business,1369,5,5,5,5,5,5,5,5,4,2,4,5,4,5,0.0,0.0,satisfied
Male,Loyal Customer,61,Personal Travel,Eco,2277,2,4,3,4,3,3,2,3,2,4,3,2,3,3,0.0,0.0,neutral or dissatisfied
Female,Loyal Customer,52,Personal Travel,Eco,1122,0,1,0,4,4,3,4,5,5,0,5,3,5,4,0.0,2.0,satisfied
Male,Loyal Customer,20,Business travel,Business,4417,1,1,1,1,5,5,5,5,3,5,5,4,5,5,0.0,0.0,satisfied
Male,Loyal Customer,59,Personal Travel,Eco,1744,2,2,2,3,4,2,4,4,2,3,4,1,4,4,0.0,0.0,neutral or dissatisfied
Female,disloyal Customer,57,Business travel,Eco,2183,3,3,3,3,2,3,2,2,4,1,4,2,4,2,0.0,0.0,neutral or dissatisfied
Male,Loyal Customer,43,Business travel,Eco Plus,1812,5,3,3,3,5,5,5,5,4,4,1,3,2,5,0.0,0.0,satisfied
Female,Loyal Customer,59,Personal Travel,Eco,665,4,2,4,3,4,4,3,2,2,4,2,3,2,2,4.0,0.0,neutral or dissatisfied
Male,Loyal Customer,25,Business travel,Business,3225,2,5,5,5,2,2,2,2,1,5,4,2,3,2,0.0,0.0,neutral or dissatisfied
Female,Loyal Customer,45,Business travel,Business,1453,4,4,4,4,1,5,4,4,4,4,4,1,4,2,16.0,0.0,satisfied
Female,Loyal Customer,58,Personal Travel,Eco,385,4,4,5,4,4,2,2,3,3,5,3,1,3,5,0.0,0.0,neutral or dissatisfied
Male,Loyal Customer,54,Business travel,Business,2674,3,3,3,3,3,5,4,4,4,4,4,3,4,4,0.0,0.0,satisfied
Female,Loyal Customer,37,Business travel,Business,2456,3,3,3,3,4,4,4,4,4,4,4,4,4,4,0.0,1.0,satisfied
Male,Loyal Customer,40,Personal Travel,Eco,1914,2,3,2,1,5,2,5,5,4,5,3,5,4,5,0.0,0.0,neutral or dissatisfied
Male,disloyal Customer,44,Business travel,Eco,2101,3,3,3,3,4,3,4,4,2,1,3,4,3,4,32.0,36.0,neutral or dissatisfied
Male,Loyal Customer,53,Business travel,Business,2748,3,3,2,3,3,4,5,4,4,4,4,5,4,4,44.0,35.0,satisfied
Female,disloyal Customer,44,Business travel,Business,3626,2,2,2,1,5,2,5,5,3,5,5,3,4,5,1.0,0.0,neutral or dissatisfied
Male,Loyal Customer,37,Personal Travel,Eco Plus,1241,3,4,3,3,5,3,5,5,5,3,4,3,4,5,6.0,6.0,neutral or dissatisfied
Male,Loyal Customer,45,Business travel,Business,3802,3,3,3,3,5,4,4,4,4,4,4,3,4,4,1.0,0.0,satisfied
Female,Loyal Customer,46,Business travel,Business,715,4,4,4,4,3,5,5,4,4,4,4,3,4,4,104.0,104.0,satisfied
Female,Loyal Customer,37,Business travel,Business,991,4,2,2,2,3,2,2,4,4,4,4,2,4,2,31.0,16.0,neutral or dissatisfied
Male,Loyal Customer,57,Business travel,Business,399,2,5,3,5,2,3,3,2,2,2,2,3,2,3,0.0,0.0,neutral or dissatisfied
Male,Loyal Customer,36,Personal Travel,Eco,1446,2,4,2,5,3,2,3,3,5,4,5,4,4,3,0.0,0.0,neutral or dissatisfied
Male,disloyal Customer,74,Business travel,Eco,2167,4,0,4,3,3,4,3,3,2,1,4,1,4,3,2.0,68.0,neutral or dissatisfied
Male,Loyal Customer,33,Personal Travel,Eco,2286,4,2,4,3,4,4,4,4,4,5,2,2,2,4,0.0,0.0,satisfied
Female,Loyal Customer,15,Personal Travel,Eco,2092,3,3,3,3,4,4,4,5,5,5,5,4,5,3,0.0,0.0,satisfied
Female,Loyal Customer,80,Business travel,Business,2823,4,4,4,4,4,4,4,5,5,5,5,3,5,5,0.0,0.0,satisfied
Male,Loyal Customer,33,Business travel,Eco,2096,2,1,1,1,2,2,2,2,3,1,4,4,3,2,0.0,7.0,neutral or dissatisfied
Female,Loyal Customer,57,Business travel,Business,2252,4,4,4,4,4,5,5,5,5,5,5,3,5,3,0.0,0.0,satisfied
Female,Loyal Customer,43,Business travel,Eco Plus,243,2,1,1,1,4,1,1,2,2,2,2,3,2,1,28.0,20.0,neutral or dissatisfied
Male,Loyal Customer,53,Business travel,Eco,3627,2,4,4,4,2,2,2,2,3,2,1,2,1,2,0.0,0.0,neutral or dissatisfied
Female,Loyal Customer,25,Business travel,Business,1353,3,5,3,3,5,5,5,5,5,4,5,1,4,5,0.0,0.0,satisfied
Male,Loyal Customer,40,Business travel,Business,2195,4,4,4,4,3,4,5,3,3,4,5,4,3,5,0.0,0.0,satisfied
Male,Loyal Customer,28,Business travel,Business,3034,3,3,3,3,4,4,4,4,5,5,5,5,5,4,34.0,13.0,satisfied
Female,Loyal Customer,39,Business travel,Business,1854,4,4,4,4,2,5,5,5,5,4,5,5,5,3,0.0,0.0,satisfied
Female,Loyal Customer,55,Business travel,Eco,708,4,3,3,3,1,1,3,5,5,4,5,5,5,3,0.0,0.0,satisfied
Female,Loyal Customer,55,Business travel,Business,2350,2,5,5,5,3,4,4,2,2,2,2,3,2,3,27.0,27.0,neutral or dissatisfied
Female,disloyal Customer,22,Business travel,Eco,2276,2,2,2,1,1,2,1,1,2,1,5,2,5,1,126.0,110.0,neutral or dissatisfied
Female,Loyal Customer,50,Business travel,Business,3188,3,3,3,3,3,5,4,4,4,4,4,3,4,5,78.0,84.0,satisfied
Male,Loyal Customer,41,Business travel,Business,2330,4,4,4,4,3,5,4,2,2,2,2,4,2,4,0.0,0.0,satisfied
Female,Loyal Customer,47,Business travel,Business,1009,5,5,5,5,2,5,4,5,5,5,5,3,5,3,72.0,49.0,satisfied
Male,Loyal Customer,61,Business travel,Business,2000,1,1,1,1,4,5,4,4,4,4,4,3,4,3,102.0,97.0,satisfied
Female,Loyal Customer,57,Business travel,Business,1807,3,3,3,3,2,4,5,2,2,2,2,3,2,5,0.0,0.0,satisfied
Female,Loyal Customer,72,Business travel,Business,656,2,2,2,2,3,2,4,5,5,5,5,5,5,1,0.0,0.0,satisfied
Female,Loyal Customer,10,Personal Travel,Eco,4142,3,4,4,4,3,4,3,3,1,1,3,5,5,3,0.0,0.0,satisfied
Male,Loyal Customer,27,Personal Travel,Eco Plus,1358,3,1,3,1,3,3,2,3,4,5,1,3,1,3,0.0,0.0,neutral or dissatisfied
Female,disloyal Customer,11,Business travel,Eco,2592,4,4,4,3,2,4,2,2,4,5,4,5,4,2,4.0,0.0,satisfied
Male,Loyal Customer,45,Business travel,Eco,1548,4,2,4,4,4,4,4,4,4,4,3,5,5,4,0.0,0.0,satisfied
Female,Loyal Customer,58,Business travel,Business,361,2,4,4,4,3,2,3,2,2,2,2,2,2,1,0.0,0.0,neutral or dissatisfied
Female,Loyal Customer,52,Business travel,Business,1756,4,4,4,4,5,5,4,5,5,4,5,3,5,4,35.0,39.0,satisfied
Male,Loyal Customer,22,Business travel,Business,1910,3,3,3,3,5,4,5,5,1,5,2,5,2,5,0.0,16.0,satisfied
Female,Loyal Customer,39,Personal Travel,Eco,1155,2,2,2,2,5,5,5,1,3,5,1,5,5,5,37.0,19.0,satisfied
Male,Loyal Customer,41,Personal Travel,Eco,1830,1,5,1,5,5,1,3,5,3,2,4,3,5,5,0.0,0.0,neutral or dissatisfied
Male,Loyal Customer,33,Business travel,Business,3956,3,3,3,3,4,4,4,4,3,1,2,2,5,4,0.0,3.0,satisfied
Male,Loyal Customer,35,Business travel,Eco,1815,3,3,3,3,3,3,3,3,1,2,5,1,2,3,2.0,0.0,satisfied
Male,Loyal Customer,39,Business travel,Business,515,2,2,2,2,2,5,4,4,4,4,4,5,4,3,4.0,0.0,satisfied
Female,Loyal Customer,49,Personal Travel,Eco,788,4,1,1,1,1,2,1,4,4,4,4,3,4,3,88.0,94.0,satisfied
Male,Loyal Customer,47,Business travel,Business,1698,4,4,5,4,5,4,5,5,5,5,4,5,5,5,0.0,15.0,satisfied
Male,disloyal Customer,59,Business travel,Eco,2447,4,4,4,4,4,1,4,1,4,4,4,4,3,4,3.0,7.0,neutral or dissatisfied
Male,Loyal Customer,51,Business travel,Eco,1152,2,2,2,2,2,2,2,2,1,2,3,2,3,2,0.0,0.0,neutral or dissatisfied
Male,Loyal Customer,50,Personal Travel,Eco,1780,2,5,2,1,1,2,1,1,4,4,4,3,5,1,0.0,0.0,neutral or dissatisfied
Male,Loyal Customer,53,Business travel,Business,473,3,3,3,3,4,5,5,4,4,4,4,5,4,5,0.0,7.0,satisfied
Female,Loyal Customer,47,Business travel,Business,3980,2,4,4,4,3,3,4,2,2,2,2,1,2,1,19.0,16.0,neutral or dissatisfied
Female,Loyal Customer,52,Business travel,Business,1482,3,3,3,3,2,4,4,5,5,5,5,5,5,3,0.0,0.0,satisfied
Female,Loyal Customer,12,Business travel,Business,4402,2,1,1,1,2,2,2,2,2,1,4,4,3,2,1.0,0.0,neutral or dissatisfied
Male,Loyal Customer,30,Personal Travel,Eco,2432,2,4,2,3,2,2,2,2,5,2,5,4,5,2,0.0,0.0,neutral or dissatisfied
Female,Loyal Customer,40,Business travel,Business,3168,5,5,5,5,2,4,5,4,4,4,4,5,4,5,0.0,0.0,satisfied
Male,disloyal Customer,48,Business travel,Business,1609,3,3,3,3,1,3,1,1,3,5,4,4,3,1,0.0,0.0,neutral or dissatisfied
Female,Loyal Customer,51,Business travel,Business,3089,4,4,4,4,5,5,4,5,5,5,5,5,5,4,40.0,46.0,satisfied
Female,Loyal Customer,62,Personal Travel,Eco,556,4,4,4,4,3,4,3,3,3,3,4,4,4,3,0.0,0.0,satisfied
Female,disloyal Customer,22,Business travel,Eco,1424,3,3,3,1,5,3,2,5,3,5,5,3,1,5,0.0,8.0,neutral or dissatisfied
Male,Loyal Customer,48,Business travel,Eco,2092,4,5,3,3,4,4,4,4,2,4,5,1,1,4,38.0,37.0,satisfied
Female,Loyal Customer,38,Personal Travel,Eco,3217,3,3,3,3,3,5,5,5,5,5,5,4,5,5,4.0,0.0,satisfied
Male,Loyal Customer,44,Business travel,Business,558,2,2,5,2,5,5,5,5,5,5,5,3,5,4,6.0,3.0,satisfied
Male,Loyal Customer,53,Business travel,Business,533,2,2,2,2,3,5,5,5,5,5,5,4,5,5,30.0,23.0,satisfied
Male,Loyal Customer,50,Business travel,Business,2789,2,2,2,2,4,4,4,4,4,4,4,4,4,4,0.0,1.0,satisfied
Male,Loyal Customer,21,Personal Travel,Eco,2529,2,4,2,2,2,2,5,2,5,2,3,1,2,2,0.0,0.0,neutral or dissatisfied
Female,Loyal Customer,24,Personal Travel,Eco Plus,2098,1,1,1,1,3,5,5,4,4,4,4,4,4,5,0.0,0.0,satisfied
Male,Loyal Customer,36,Business travel,Business,3500,4,4,5,4,1,3,1,5,5,5,5,5,5,5,0.0,5.0,satisfied
Male,disloyal Customer,34,Business travel,Business,1984,3,3,3,3,1,3,1,1,5,4,5,4,5,1,0.0,0.0,neutral or dissatisfied
Female,Loyal Customer,56,Business travel,Business,798,4,4,4,4,2,4,4,5,5,5,5,4,5,3,4.0,0.0,satisfied
Female,disloyal Customer,25,Business travel,Business,1764,2,0,2,4,2,2,2,2,3,3,5,5,5,2,20.0,0.0,neutral or dissatisfied
Male,Loyal Customer,35,Business travel,Business,1718,4,4,4,4,5,4,4,4,4,4,4,3,4,3,7.0,0.0,satisfied
